datetime,conditions,quarter
2002-01-01,Partially cloudy,1
2002-01-02,"Rain, Partially cloudy",1
2002-01-03,"Rain, Partially cloudy",1
2002-01-04,Partially cloudy,1
2002-01-05,Partially cloudy,1
2002-01-06,Partially cloudy,1
2002-01-07,Partially cloudy,1
2002-01-08,Partially cloudy,1
2002-01-09,Partially cloudy,1
2002-01-10,Clear,1
2002-01-11,Clear,1
2002-01-12,Clear,1
2002-01-13,Clear,1
2002-01-14,Partially cloudy,1
2002-01-15,Partially cloudy,1
2002-01-16,Partially cloudy,1
2002-01-17,Clear,1
2002-01-18,Partially cloudy,1
2002-01-19,Partially cloudy,1
2002-01-20,Clear,1
2002-01-21,Clear,1
2002-01-22,Partially cloudy,1
2002-01-23,Clear,1
2002-01-24,Clear,1
2002-01-25,Partially cloudy,1
2002-01-26,Partially cloudy,1
2002-01-27,"Rain, Partially cloudy",1
2002-01-28,"Rain, Partially cloudy",1
2002-01-29,"Rain, Partially cloudy",1
2002-01-30,Clear,1
2002-01-31,Clear,1
2002-02-01,Partially cloudy,1
2002-02-02,Clear,1
2002-02-03,Clear,1
2002-02-04,Clear,1
2002-02-05,Clear,1
2002-02-06,Clear,1
2002-02-07,Clear,1
2002-02-08,Partially cloudy,1
2002-02-09,Clear,1
2002-02-10,Clear,1
2002-02-11,Clear,1
2002-02-12,Partially cloudy,1
2002-02-13,Partially cloudy,1
2002-02-14,Partially cloudy,1
2002-02-15,Partially cloudy,1
2002-02-16,Partially cloudy,1
2002-02-17,"Rain, Partially cloudy",1
2002-02-18,Partially cloudy,1
2002-02-19,Partially cloudy,1
2002-02-20,Partially cloudy,1
2002-02-21,Clear,1
2002-02-22,Clear,1
2002-02-23,Partially cloudy,1
2002-02-24,Clear,1
2002-02-25,Clear,1
2002-02-26,Partially cloudy,1
2002-02-27,Partially cloudy,1
2002-02-28,Partially cloudy,1
2002-03-01,Partially cloudy,1
2002-03-02,Clear,1
2002-03-03,Clear,1
2002-03-04,Clear,1
2002-03-05,Partially cloudy,1
2002-03-06,"Rain, Partially cloudy",1
2002-03-07,"Rain, Partially cloudy",1
2002-03-08,Partially cloudy,1
2002-03-09,Partially cloudy,1
2002-03-10,Partially cloudy,1
2002-03-11,Clear,1
2002-03-12,Partially cloudy,1
2002-03-13,Partially cloudy,1
2002-03-14,Clear,1
2002-03-15,Clear,1
2002-03-16,Clear,1
2002-03-17,"Rain, Partially cloudy",1
2002-03-18,Clear,1
2002-03-19,Clear,1
2002-03-20,Clear,1
2002-03-21,Partially cloudy,1
2002-03-22,Clear,1
2002-03-23,"Rain, Partially cloudy",1
2002-03-24,Partially cloudy,1
2002-03-25,Partially cloudy,1
2002-03-26,Clear,1
2002-03-27,Partially cloudy,1
2002-03-28,"Rain, Partially cloudy",1
2002-03-29,Partially cloudy,1
2002-03-30,Partially cloudy,1
2002-03-31,Partially cloudy,1
2003-01-01,Clear,1
2003-01-02,Clear,1
2003-01-03,Partially cloudy,1
2003-01-04,Partially cloudy,1
2003-01-05,Clear,1
2003-01-06,Clear,1
2003-01-07,Clear,1
2003-01-08,Partially cloudy,1
2003-01-09,Partially cloudy,1
2003-01-10,Partially cloudy,1
2003-01-11,Partially cloudy,1
2003-01-12,"Rain, Partially cloudy",1
2003-01-13,Clear,1
2003-01-14,Partially cloudy,1
2003-01-15,Rain,1
2003-01-16,Clear,1
2003-01-17,Clear,1
2003-01-18,Clear,1
2003-01-19,Clear,1
2003-01-20,Partially cloudy,1
2003-01-21,Partially cloudy,1
2003-01-22,Partially cloudy,1
2003-01-23,Partially cloudy,1
2003-01-24,Partially cloudy,1
2003-01-25,Partially cloudy,1
2003-01-26,Partially cloudy,1
2003-01-27,Partially cloudy,1
2003-01-28,Partially cloudy,1
2003-01-29,Partially cloudy,1
2003-01-30,Clear,1
2003-01-31,Partially cloudy,1
2003-02-01,Partially cloudy,1
2003-02-02,Clear,1
2003-02-03,Clear,1
2003-02-04,Partially cloudy,1
2003-02-05,Clear,1
2003-02-06,Clear,1
2003-02-07,Partially cloudy,1
2003-02-08,Clear,1
2003-02-09,Clear,1
