datetime,conditions,quarter
2002-04-16,Partially cloudy,2
2002-04-17,Partially cloudy,2
2002-04-18,Clear,2
2002-04-19,Clear,2
2002-04-20,Clear,2
2002-04-21,Clear,2
2002-04-22,Clear,2
2002-04-23,Partially cloudy,2
2002-04-24,"Rain, Partially cloudy",2
2002-04-25,Partially cloudy,2
2002-04-26,"Rain, Partially cloudy",2
2002-04-27,Partially cloudy,2
2002-04-28,Clear,2
2002-04-29,Clear,2
2002-04-30,Partially cloudy,2
2002-05-01,Clear,2
2002-05-02,Clear,2
2002-05-03,Partially cloudy,2
2002-05-04,Partially cloudy,2
2002-05-05,Partially cloudy,2
2002-05-06,Partially cloudy,2
2002-05-07,Partially cloudy,2
2002-05-08,Partially cloudy,2
2002-05-09,Partially cloudy,2
2002-05-10,Clear,2
2002-05-11,Clear,2
2002-05-12,Clear,2
2002-05-13,Clear,2
2002-05-14,Clear,2
2002-05-15,Partially cloudy,2
2002-05-16,Partially cloudy,2
2002-05-17,Partially cloudy,2
2002-05-18,Partially cloudy,2
2002-05-19,Partially cloudy,2
2002-05-20,"Rain, Partially cloudy",2
2002-05-21,Clear,2
2002-05-22,Clear,2
2002-05-23,Clear,2
2002-05-24,Partially cloudy,2
2002-05-25,Partially cloudy,2
2002-05-26,Partially cloudy,2
2002-05-27,Partially cloudy,2
2002-05-28,Partially cloudy,2
2002-05-29,Partially cloudy,2
2002-05-30,Partially cloudy,2
2002-05-31,Partially cloudy,2
2002-06-01,Partially cloudy,2
2002-06-02,Partially cloudy,2
2002-06-03,Partially cloudy,2
2002-06-04,Partially cloudy,2
2002-06-05,Partially cloudy,2
2002-06-06,Partially cloudy,2
2002-06-07,Partially cloudy,2
2002-06-08,Partially cloudy,2
2002-06-09,Partially cloudy,2
2002-06-10,Partially cloudy,2
2002-06-11,Partially cloudy,2
2002-06-12,Partially cloudy,2
2002-06-13,Partially cloudy,2
2002-06-14,Clear,2
2002-06-15,Clear,2
2002-06-16,Clear,2
2002-06-17,Clear,2
2002-06-18,Clear,2
2002-06-19,Clear,2
2002-06-20,Partially cloudy,2
2002-06-21,"Rain, Partially cloudy",2
2002-06-22,Partially cloudy,2
2002-06-23,Partially cloudy,2
2002-06-24,Partially cloudy,2
2002-06-25,Partially cloudy,2
2002-06-26,Partially cloudy,2
2002-06-27,Partially cloudy,2
